nome_datacenter;operadora;endereco;cep;link_datacenter
Scala Data Centers SVCPCP01;Scala Data Centers;R. Guido de Camargo Penteado Sobrinho 3685;13082;https://www.datacentermap.com/brazil/campinas/scala-svcpcp01/
Sencinet Hortolândia;Sencinet;Rodovia Jornalista Francisco Aguirre Proença, KM 9;13186-904;https://www.datacentermap.com/brazil/campinas/sencinet-brazil/
Serpro Modular Data Center;Serpro;R. Olívia Guedes Penteado, 941 - Socorro;04766-900;https://www.datacentermap.com/brazil/sao-paulo/serpro-so-paulo/
Sitelbra Data Center;Sitelbra;SOFN Quadra 1, Conjunto C, Lote 9-12;70634130;https://www.datacentermap.com/brazil/brasilia/sitelbra-data-center/
IFTNET SJRP01;IFTNET Telecom;Av Bady Bassit 2966;15025000;https://www.datacentermap.com/brazil/sao-jose-do-rio-preto/sjrp01/
SKY Brasil - Jaguariúna;SKY Brasil;Rod. SP-340 Km133,10;13820-000;https://www.datacentermap.com/brazil/campinas/sky-brasil-jaguarina/
SKY Brasil - Tamboré;SKY Brasil;Av. Marcos Penteado de Ulhôa Rodrigues, 1000;06543-900;https://www.datacentermap.com/brazil/tambore/sky-brasil-tambore/
Surfix Data Center;Surfix Cloud & Data Center;Av. Domingos Ferreira, 2010;51111-020;https://www.datacentermap.com/brazil/recife/surfix-data-center/
TAKODA Sao Paulo - SP1;TAKODA;R. Bento Branco de Andrade Filho, 621 - Jardim Dom Bosco;04757-000;https://www.datacentermap.com/brazil/sao-paulo/takdoa-sao-paulo-sp1/
TAKODA Sao Paulo - SP2;TAKODA;Av. Maria Coelho Aguiar, 215 - Jardim Sao Luis;05805-000;https://www.datacentermap.com/brazil/sao-paulo/takdoa-sao-paulo-sp2/
TAKODA Rio de Janeiro - RJ1;TAKODA;Estrada dos Bandeirantes, 10916;22783-111;https://www.datacentermap.com/brazil/rio-de-janeiro/takoda-rio-de-janeiro-rj1/
Teccloud Campo Bom;Teccloud Stefanini;Av. dos Municípios, 5510 - Vila Santa Lucia;93544-750;https://www.datacentermap.com/brazil/porto-alegre/teccloud-campo-bom/
Teccloud Porto Alegre;Teccloud Stefanini;Rua 18 de Novembro, 273/502 - Navegantes;90240-040;https://www.datacentermap.com/brazil/porto-alegre/teccloud-porto-alegre/
TELEPORTO RJ;Unknown Company;Av. Pres. Vargas, 3131 - Centro;20210-030;https://www.datacentermap.com/brazil/rio-de-janeiro/teleporto-rj/
Telium Data Center - POA;Telium Networks;Av. Independência, 1299;90035073;https://www.datacentermap.com/brazil/porto-alegre/telium-data-center--poa/
Telium Data Center - SPO;Telium Networks;Av. das Nações Unidas, 13797;04794000;https://www.datacentermap.com/brazil/sao-paulo/telium-data-center--spo/
TIP Brasil Campinas;TIP Brasil;R. Miguel Pascoal, 104 - Jardim do Trevo;13041-312;https://www.datacentermap.com/brazil/campinas/tip-brasil-campinas/
TO HOST Data Centers;TO HOST Data Centers;Quadra ACSV SO 43, Av. LO 09, Lote 10, Sl 01;77015684;https://www.datacentermap.com/brazil/palmas/to-host-data-centers/
Tyna Host Data Center;Tyna Host Datacenter no Brasil;R. Waldemar Vaz Pereira, 45;36889-186;https://www.datacentermap.com/brazil/muriae/tyna-host-data-center/
Ultranet Telecom DC Cambuci;Ultranet Telecom;Rua Simao Dias da Fonseca, 61;01539-020;https://www.datacentermap.com/brazil/sao-paulo/ultranet-telecom/
Unifique Timbó DC1;Unifique;R. Duque de Caxias, 831 - Centro;89120-000;https://www.datacentermap.com/brazil/blumenau/unifique-timb-dc1/
UPX Campinas Data Center;UPX Technologies;Rua Guapuruvu, 200 - Lot. Alphaville;13098-322;https://www.datacentermap.com/brazil/campinas/upx-campinas/
VSP Solution Belo Horizonte;VSP Solution;Av. Raja Gabáglia, 3348 - Estoril;30494310;https://www.datacentermap.com/brazil/belo-horizonte/valspe/
VISÃO DATACENTER LTDA ;VISÃO DATACENTER LTDA ;Av Giacomo Lunardi ;89825000;https://www.datacentermap.com/brazil/xaxim/viso-datacenter/
Vivo Tamboré 1 Data Center;Vivo;Av. Marcos Penteado de Ulhôa Rodrigues, 1690;06543-001;https://www.datacentermap.com/brazil/sao-paulo/vivo-tambore-1-data-center/
Vix DataCenter;ConectJá Telecomunicações;R. Sérgio Cardoso, 75 - Dom Bosco;29147-350;https://www.datacentermap.com/brazil/vitoria/vix-datacenter/
Tecto Big Lobster;Tecto Data Centers;R. Raimundo Esteves, 333 - Antonio Diogo;60182-330;https://www.datacentermap.com/brazil/fortaleza/vtal-big-lobster/
Tecto Mega Lobster;Tecto Data Centers;Av. Dioguinho & R. Francisco Montenegro;60183-713;https://www.datacentermap.com/brazil/fortaleza/vtal-mega-lobster/
NETWISE EMPRESAS;NETWISE EMPRESAS;Rua Edson Rezende, 206;35592094;https://www.datacentermap.com/brazil/lagoa-da-prata/wise-data/
